[0.00s -> 31.00s] Speaker 0:  Okay, who wants to take notes today?
[30.00s -> 32.00s] Speaker 1:  Thank you.
[31.00s -> 39.00s] Speaker 0:  Okay. Okay.
[38.00s -> 44.00s] Speaker 1:  Okay, I could take notes this time, I guess. What? I'll take notes this time. Okay.
[43.00s -> 45.00s] Speaker 0:  It's okay.
[44.00s -> 47.00s] Speaker 1:  I'll make funny drawings.
[46.00s -> 48.00s] Speaker 0:  make funny drawings.
[47.00s -> 62.00s] Speaker 1:  Actually, first thing, I just sort of did a really sort of brief version of what we have to do.
[61.00s -> 86.00s] Speaker 0:  Thank you. Very interesting start of the meeting. Yes.
[85.00s -> 87.00s] Speaker 1:  Yes.
[86.00s -> 125.00s] Speaker 0:  Everyone's looking now, reading. Okay? Yep. I like the timeline.
[124.00s -> 131.00s] Speaker 1:  actually for that I was just copying the one straight out of the other document so it's all whatever
[130.00s -> 138.00s] Speaker 0:  Okay, yeah.
[137.00s -> 140.00s] Speaker 1:  Okay, yep, basically that's fine.
[139.00s -> 150.00s] Speaker 0:  I'm not sure if we need the outline of the prototype I mean what we're going to put into
[149.00s -> 155.00s] Speaker 1:  What are we gonna put into that? Well, just sort of. Well, the thing is, yeah, we're gonna be touching on all that during the other part for the progress. Yeah, because I'm. Yeah.
[154.00s -> 158.00s] Speaker 0:  Yeah, because that's basically what we're doing here, isn't it?
[157.00s -> 176.00s] Speaker 1:  Yeah, well it's just something that he had mentioned in the in the previous like just to sort of have a prototype together and so just saying that you know we could potentially do that. Yeah we could. It's not something we have to. This could be just some a little just just describe some screenshots.
[175.00s -> 177.00s] Speaker 0:  Thank you.
[176.00s -> 195.00s] Speaker 1:  Yeah, sure. Like the thing is, I was thinking even in the stuff that I was doing, I mean just throw the screenshots in there when you talk about what you're doing. Yeah, you can either, we can just ignore that. Oh yes, actually I have that at the very end, screenshots, but that didn't show up on this page, so it's not even relevant. Yeah, it says screenshot and stuff.
[194.00s -> 198.00s] Speaker 0:  We could have screenshots by the thing, each one, or...
[197.00s -> 200.00s] Speaker 1:  I have just a bunch of them in one section.
[199.00s -> 201.00s] Speaker 0:  of them in one section.
[200.00s -> 231.00s] Speaker 1:  Anyways, so yeah, this is just very general structure. I guess from this, we can just pop in our little blurbs. Yeah. I've written the topic segmentation one. Cool. So I don't know if there's other stuff that you think should be done to this. I could do that before I mail it to you guys. Otherwise, no. Does someone else want to throw it together? Actually, I can probably still throw it together if you want. Put your parts into this one. I think Penelope should do it.
[230.00s -> 232.00s] Speaker 0:  I think Penelope should do it.
[231.00s -> 234.00s] Speaker 1:  Perfectionist price.
